Venue Name,TimeBucket,Dealer,Slippage
Regulated Market,Pre-Market,Morgan Stanley,1.549671415
Regulated Market,Pre-Market,Barclays,1.48617357
Regulated Market,Pre-Market,JP Morgan,1.564768854
Regulated Market,Pre-Market,Citadel,1.652302986
Regulated Market,Pre-Market,Goldman Sachs,1.476584663
Regulated Market,Pre-Market,Interactive Brokers,1.476586304
Regulated Market,Pre-Market,Bank of America,1.657921282
Regulated Market,Pre-Market,Credit Suisse,1.576743473
Regulated Market,Pre-Market,UBS,1.453052561
Regulated Market,Pre-Market,Virtu Financial,1.554256004
Regulated Market,9:00-10:00,Morgan Stanley,0.953658231
Regulated Market,9:00-10:00,Barclays,0.953427025
Regulated Market,9:00-10:00,JP Morgan,1.024196227
Regulated Market,9:00-10:00,Citadel,0.808671976
Regulated Market,9:00-10:00,Goldman Sachs,0.827508217
Regulated Market,9:00-10:00,Interactive Brokers,0.943771247
Regulated Market,9:00-10:00,Bank of America,0.898716888
Regulated Market,9:00-10:00,Credit Suisse,1.031424733
Regulated Market,9:00-10:00,UBS,0.909197592
Regulated Market,9:00-10:00,Virtu Financial,0.85876963
Regulated Market,10:00-11:00,Morgan Stanley,0.946564877
Regulated Market,10:00-11:00,Barclays,0.77742237
Regulated Market,10:00-11:00,JP Morgan,0.80675282
Regulated Market,10:00-11:00,Citadel,0.657525181
Regulated Market,10:00-11:00,Goldman Sachs,0.745561728
Regulated Market,10:00-11:00,Interactive Brokers,0.811092259
Regulated Market,10:00-11:00,Bank of America,0.684900642
Regulated Market,10:00-11:00,Credit Suisse,0.837569802
Regulated Market,10:00-11:00,UBS,0.739936131
Regulated Market,10:00-11:00,Virtu Financial,0.770830625
Regulated Market,11:00-12:00,Morgan Stanley,0.539829339
Regulated Market,11:00-12:00,Barclays,0.785227818
Regulated Market,11:00-12:00,JP Morgan,0.598650278
Regulated Market,11:00-12:00,Citadel,0.494228907
Regulated Market,11:00-12:00,Goldman Sachs,0.682254491
Regulated Market,11:00-12:00,Interactive Brokers,0.477915635
Regulated Market,11:00-12:00,Bank of America,0.62088636
Regulated Market,11:00-12:00,Credit Suisse,0.404032988
Regulated Market,11:00-12:00,UBS,0.467181395
Regulated Market,11:00-12:00,Virtu Financial,0.619686124
Regulated Market,12:00-13:00,Morgan Stanley,0.773846658
Regulated Market,12:00-13:00,Barclays,0.717136828
Regulated Market,12:00-13:00,JP Morgan,0.688435172
Regulated Market,12:00-13:00,Citadel,0.66988963
Regulated Market,12:00-13:00,Goldman Sachs,0.552147801
Regulated Market,12:00-13:00,Interactive Brokers,0.628015579
Regulated Market,12:00-13:00,Bank of America,0.653936123
Regulated Market,12:00-13:00,Credit Suisse,0.805712223
Regulated Market,12:00-13:00,UBS,0.734361829
Regulated Market,12:00-13:00,Virtu Financial,0.523695984
Regulated Market,13:00-14:00,Morgan Stanley,0.932408397
Regulated Market,13:00-14:00,Barclays,0.861491772
Regulated Market,13:00-14:00,JP Morgan,0.8323078
Regulated Market,13:00-14:00,Citadel,0.961167629
Regulated Market,13:00-14:00,Goldman Sachs,1.003099952
Regulated Market,13:00-14:00,Interactive Brokers,0.993128012
Regulated Market,13:00-14:00,Bank of America,0.816078248
Regulated Market,13:00-14:00,Credit Suisse,0.869078762
Regulated Market,13:00-14:00,UBS,0.933126343
Regulated Market,13:00-14:00,Virtu Financial,0.997554513
Regulated Market,14:00-15:00,Morgan Stanley,1.052082576
Regulated Market,14:00-15:00,Barclays,1.081434102
Regulated Market,14:00-15:00,JP Morgan,0.989366503
Regulated Market,14:00-15:00,Citadel,0.980379338
Regulated Market,14:00-15:00,Goldman Sachs,1.181252582
Regulated Market,14:00-15:00,Interactive Brokers,1.235624003
Regulated Market,14:00-15:00,Bank of America,1.092798988
Regulated Market,14:00-15:00,Credit Suisse,1.20035329
Regulated Market,14:00-15:00,UBS,1.136163603
Regulated Market,14:00-15:00,Virtu Financial,1.035488025
Regulated Market,15:00-16:00,Morgan Stanley,1.336139561
Regulated Market,15:00-16:00,Barclays,1.453803657
Regulated Market,15:00-16:00,JP Morgan,1.296417396
Regulated Market,15:00-16:00,Citadel,1.456464366
Regulated Market,15:00-16:00,Goldman Sachs,1.03802549
Regulated Market,15:00-16:00,Interactive Brokers,1.38219025
Regulated Market,15:00-16:00,Bank of America,1.308704707
Regulated Market,15:00-16:00,Credit Suisse,1.270099265
Regulated Market,15:00-16:00,UBS,1.309176078
